Season,Commentor,Time Commented,Comment
1,@Chippi_chippi_chappa_chappa0-0,1 year ago,Namita hair style image is national hairstyle of girls
1,@devyadav3861,1 year ago,season 1 was all about seedhi baat no bakwas
1,@shariqaqeel,1 year ago,"Bhai break nahi lag rahe 
Ashneer"
1,@akshaykumarthakur7677,5 months ago,ashneer kaise hass raha hai
1,@learnwithfaisalrh,1 year ago,Who came here to see Ashneer sir
1,@zangmow2684,2 years ago,Wow .. getting a deal with anupam and veneta is ...thats the dream... Lucky girl
1,@dasiyargamerz4419,5 months ago,ha ha ha
1,@RahulKhute-q5q,1 year ago,Literally 8 ads in one video x 2.4 lakh views
1,@himashreekalita1448,2 years ago,Haan wala boy
1,@Factrillion,10 months ago,"""main bolta kam hoon"""
1,@SaranshJain-m5o,1 year ago,Momo maami bani pehli deal lene waali
1,@snehamuralidharan,1 year ago,gujarat me rehke kabhi nahi dekha ye booz. Bangalore already have yulo.
1,@saadpii7449,1 year ago,Those Who Troll Namita For i M Out ... I Want To Tell Those Pplz Namita Is The Highest Investor In 1st Two Seasons
1,@rishabhsingh-gw3gf,1 year ago,No Asheer means bin masale ki sabzi.... Ab Shark Tank pura phika hai
1,@SumitKumar-y9m8s,1 month ago,Watching this very first episode to know more about business
1,@Varchasva-f7h5j,1 month ago,The second contestant smile is so cute
1,@the_legend-boys,1 year ago,50000  apply for this shark  tank
1,@raghavsamanto84,2 years ago,Ashner
1,@Humptydumptyfall,1 year ago,bro be like - yaar bhai ni hai maan jaa
1,@VishalTirkey-z3o,1 year ago,Chal gya bhaiya ji bhitre
1,@subhamroy8032,10 months ago,Delhi boy aman sir says 'momos'
1,@rohanpandey1239,1 year ago,पहली बार देखने वाले
1,@tanushreebishoi,1 year ago,bas stylish dikhne k badle 25 lac  mil gaye
1,@SAHIL_editor__,2 years ago,MOMO MAMI
1,@khirsagarpatel1087,6 months ago (edited),The founder of 𝐳𝐨𝐦𝐚𝐭𝐨 is very 𝐈𝐍𝐓𝐀𝐋𝐈𝐆𝐀𝐍𝐓
1,@ayushpatole9743,2 months ago,Raju ki mummy is great
1,@ara-inc,1 year ago,aur vivek bindra 10 din m business sikha raha h
1,@mdtoheed633,1 year ago,Kal sir n show ka name btaya
1,@WYNKZ,2 years ago,Mai bhi khaunga momos
1,@zangmow2684,2 years ago,That's why we like ashner sir and vineta... Anupam is knowledgeable thatswhy we like him but if he keeps on not investing we may change our mind and not to be your fan
1,@sastryvajjala1928,2 years ago,Why vineeta always wants to take higher equity?
1,@annveshaka8398,1 year ago,Soul nourishing food .... she said that
1,@VoiceforReality,11 months ago,Haan
1,@BEC-VISHNURAMT,1 year ago,I eager to see this show but language problem any solutions
1,@PwSheezan,2 years ago,Nice
1,@biradarsantosh-c4s,1 year ago,very good initiative for Indian entrepreneurs as our civilizations had some 12 to 15 creative ideas which were shudh desi innovations were the civilizations stopped and then invasions up on invasions ...good initiative though western synthetic ideas but makes a lot of difference in the market place as far as the employment is concerned. win win always works with the western.
1,@VSK999,1 year ago,I  NAMITA MAM REACTIONS & HER AS WELL.
1,@Huiljdfx,2 years ago,Pappa ne call kari lo
1,@rehanmalik8917,2 years ago,Ya apna idea duniya ko bata chuki hai
1,@abdxlive,1 year ago,Watched For The First Time
1,@MovieAdda-gv5ys,1 year ago,so I am out
1,@paridhinepal88,3 months ago,It's momo not momos
1,@SumitKumar-y9m8s,1 month ago,Honestly speaking I won't have invested in the frozen mom business because the good momos are those only which are prepared freshly right in front of u I don't like frozen momos at all
1,@Chetan-P1,1 year ago,Kon kon shorts dekhne k baad idhar aaya
1,@Khushisunar888,7 months ago,India people please don't pronounce momos. It's momo *
1,@KhushiKhushi-uo2sb,2 years ago,Ya kasa show hy plz batay mjhe samjh nhe arahe
1,@mohdrazaulhaque7357,1 year ago,mai bhi malviya nagar me rahta hoon
1,@Mirror516,1 year ago,Y not English subtitles
1,@Xavier-2.0x,1 year ago (edited),"Shar tank :- season 1.  Sabse accha
  Season 2.  Thoda sa faltu
  Season 3 sabse ghatiya hai
Season 4. He prabhu He harinam krisna jagannatham premanand ye kya hua 
SHARK TANK HI BAND HO GAYA"
1,@yanchenlama8053,4 months ago,Bakwas sharks
1,@poojakashyap4662,1 year ago,Ye show tv me kiss channel me aata h koi bta skta h kya¿
1,@Jassa._.odhpuria,8 months ago,Momo mami
1,@mukuswaminarayana5269,2 years ago (edited),Valuation ko adha kardeta hai. 49 51 karlete kamse kam ordinary resolution toh pass kar pata.
2,@madhukarsonawane6203,2 years ago,"Pitcher : Hello Sharks! I am Mr ..
Namrata : I am out!"
2,@noquestions7443,1 year ago,Pitchers don’t even take Namita seriously
2,@Sonu_kumaRRR,2 years ago,As a sales marketer hote hue main piyush sir se agree karta hu ki .... Consumer kabhi kisi ke loyal nahi hota aur ashneer Grover ki bhasha me kaha jae to ... consumer se bada dogla koi nahi hota
2,@abhiAJ001,1 year ago (edited),: Aman is not able to understand the financial jargon used by Anupam  he be like ayein
2,@sly9110,2 years ago,Anupam always coughs when the valuation is High
2,@arunabha_MB,1 year ago,"Everything is temporary.
But.
Namita:..... I am out is permanent"
2,@moleconcept7,1 year ago,Pitch start hone se pehle hi namita be like :- and for that reason I'm out
2,@naturea2499,1 year ago,Please bring baba ramdev in place of namita
2,@ninadaundhkar8844,1 year ago,"Saw 20 episodes on YT back to back, and not a single company Namita invested in XD"
2,@bittusinghal1385,1 year ago,"Anupam is a book in himself. 
It is so interesting to know all the different terms. I think people with knowledge and well read people are rare these days."
2,@JOY-ki5th,1 year ago,Namita: I love your product and for that reason I am out.
2,@waniya21,2 years ago (edited),She always has this fake smile on her face while saying i'm out
2,@ankitk1291,1 year ago (edited),Namita asking about numbers  she is acting shark.
2,@shubhamvishal,2 years ago,I think Shark Tank will boom only when all videos are there on YouTube
2,@bittusinghal1385,1 year ago,Namita is in a hurry and the first one to say I am out. It feels like she has a clear mind of which areas she doesn’t want to invest and finds reasons to justify that and when there is no reason she says she doesn’t have expertise.
2,@LitHaxor,1 year ago,I thought Chatur 'Silencer' Ramalingam from 3 Idiots came here to pitch.
2,@massagewalaofficial,1 year ago,Very true. Customer relationship and financial metrics are 2 different things.
2,@shrutimarathe4749,1 year ago,Anupam has knowledge of everything
2,@EpicBunty,2 years ago,that last guy was too good. and so was the cheese business. the silliest thing I find is the talks about TAM and customer market and whatnot. all of that keeps changing all the time.
2,@maheshbhatt8115,1 year ago,"Last wala such me samjha ni paya thik se bht points the warna
1. Apko apna money block nahi krna h sirf 5k me use kr sakte
2.Agar ap state change krte ho to paper transfer gadi transfer jesi problem ni subscription khtm krdo
3.aap different different vehicles ka experience le sakte
Baki service maintenance etc to bta hi Diya tha wo"
2,@yadaventertainment6744,2 years ago,"At  video edited.   Enterprineur was saying ""kya baat kar rahe hai"" lol"
2,@funtube7858,2 years ago,Mujhe lagta hai mam ka favourite line hai I am out
2,@manavpatra4808,2 years ago,"As someone of Indian origin who has lived overseas (in the land down under) for over 3 decades, it brings an extra wide smile on my face to see Mera Desh evolve and progress into a bright, sparkly future. A plethora of new business ideas, both socio-economic and progressive combined, that even here in the West, we fail to envision. India mein talent ki koi kami nahin hai, bas ek support system ki kami thi jo ab poori hotey dekh raha hun... and Shark Tank India is one of them key portals to success. 
Carpe Diem dear young curious minds. The world makes room for those people who know where they are going."
2,@nabeelahmad8802,2 years ago,Namita is always OUT
2,@hardikvasoya8232,2 years ago,I merely like the way Aman sir deals
2,@inmate_-tn1gd,2 years ago,Namita takes the least risk
2,@sujalvighne7229,2 years ago,Ye chatur yaha kese agyaa
