Season,Commentor page,Account Name,Time commented,Episode,Comment,Likes,yt-core-attributed-string 2,yt-core-attributed-string 3
1.0,https://www.youtube.com/@Sam-bn7jk,@Sam-bn7jk,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugw8_eSHWtCWUickPFB4AaABAg,Long story short: today Wonderland Magazine has 67 employees and a 31 million pounds revenue each year.,436,,
1.0,https://www.youtube.com/@ketchup5344,@ketchup5344,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugwg8R5rCF_6XqHakE94AaABAg,I wrote to this guy and he wrote me a lovely letter back. He's a top bloke and i always knew he would do well with his magazine. Its excellent.,174,,
1.0,https://www.youtube.com/@akshatjain8505,@akshatjain8505,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyLJcil7C7AFuqNpyx4AaABAg,Peter always waits for the fools to throw away the offers and then comes in with a bang! No wonder he is richer than the rest of the lot.,110,,
1.0,https://www.youtube.com/@hamza361,@hamza361,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyFxJv4TPCx2RrsfOh4AaABAg,Fun fact: This is still Peter’s highest investment to date.,535,,
1.0,https://www.youtube.com/@Itsrorythough,@Itsrorythough,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxn3Ni8XfxLjEXzh5N4AaABAg,Got to hand it to the guy he’s not a quitter and it’s people like him that win.,47,,
1.0,https://www.youtube.com/@jahswinonoh5351,@jahswinonoh5351,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzfW0Tt3EJRZNyDAhh4AaABAg,update: Wonderland Magazine is now worth $220M in 2021,350,,
1.0,https://www.youtube.com/@93deadpool,@93deadpool,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxHwTSLSDvvwBCR_2R4AaABAg,Simon was unnecessarily rude towards this man.,154,,
1.0,https://www.youtube.com/@blakegriggs2423,@blakegriggs2423,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwS8ig-N9TBTifgZ3d4AaABAg,"stlll up and running! same slogan "" challenge inform and entertain""",175,,
1.0,https://www.youtube.com/@francissaunders4050,@francissaunders4050,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxU68MyLRc-BOcHYNZ4AaABAg,"Isn't it hysterical that Simon asked everyone ""have you heard of V magazine?"" And then describes people as ""fools."" I don't know what to laugh at more, Simon's ignorance or his sideburns",84,,
1.0,https://www.youtube.com/@vader745,@vader745,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwxzZch94lS73yVKW14AaABAg&pp=0gcJCSIANpG00pGi,Peter showed here why he's the best dragon hands down!,20,,
1.0,https://www.youtube.com/@blendcollopeku123,@blendcollopeku123,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgygYW7xpSINF6yXAlp4AaABAg,What the hell did I just witness?!!!!! This guy was the best entrepreneur I saw in the Den so far!,22,,
1.0,https://www.youtube.com/@andreflavell2689,@andreflavell2689,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxffVY9BqzxpZo9Y9V4AaABAg,Peter Jones is a true businessman unlike the others that can’t see quality when it’s front of them .,91,,
1.0,https://www.youtube.com/@moosesnWoop,@moosesnWoop,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwhSwDACiTagGil6VV4AaABAg&pp=0gcJCSIANpG00pGi,"This dude probably was one of the last publishers to pitch for a viable investment in print media - by 2010 Digital media definitely overtook print. They seem to have an online magazine as well, dude seemed to have the chutzpah to get it done; which is probably what Peter was attracted to more than the print media itself.",32,,
1.0,https://www.youtube.com/@karlosjeffers4791,@karlosjeffers4791,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugw8Gg-3Qu_aHVaXJTp4AaABAg,So in conclusion Simon Woodroofe declared Peter Jones “a fool”,99,,
1.0,https://www.youtube.com/@DevonDandy,@DevonDandy,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz2JPYT980hewdOMF94AaABAg,"Peter Jones negotiating options , thought up on the hoof here, were quite brilliant, no wonder he is so successful.",114,,
1.0,https://www.youtube.com/@aebimomi,@aebimomi,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyPzXtrQSeL9IeVHiV4AaABAg,"My hat off to Peter Jones. He is a businessman to the core and truly knows what he's doing and knows when he's hit a diamond in the rough. Very brilliant, very intelligent and with an unusual insight. It's no surprise he is so successful.",106,,
1.0,https://www.youtube.com/@ginolandrot2729,@ginolandrot2729,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwD9zZyazrO8oznPw14AaABAg,"From a 2016 article 

""Huw Gwyther is the Editorial Director and founder of not one, but three of arguably fashion’s hottest titles: Wonderland, Rollacoaster and Man About Town. Since appearing on Dragon’s Den in 2005 and securing Dragon Peter Jones as an investor, Gwyther has continued to deliver on his magazine dream and is now considered a leading figure in publishing…""",226,,
1.0,https://www.youtube.com/@shawnmcdoge2215,@shawnmcdoge2215,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgytVgGwG337EeQcOkl4AaABAg,I thought it was Ryan from the  Office at first.....,87,,
1.0,https://www.youtube.com/@tamikagreen1119,@tamikagreen1119,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxwwg4RudM3O2wlRL94AaABAg,"I didn't think any dragon would invest in something like this. It wasn't even set up, it was a concept.",14,,
1.0,https://www.youtube.com/@zoeyelh,@zoeyelh,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgysVQsW2JYUmlqWY8N4AaABAg&pp=0gcJCSIANpG00pGi,"wonderland magazine is a success, last year featuring kim kardashian on the cover. peter jones is still a shareholder",554,,
