"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_ljnWU9rBt2GWLjKQLYBG4gKzbWRo0ENItbrCLipjhvGQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@GodotOfficial","@GodotOfficial","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugw8NxxeA8bgFYo78zN4AaABAg","Jeremy: I am offering you 2.5% of my company 

Touker:","264","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_lGUqrVpc10cOhI3OoSCjWG6-jkgAyZnJHcbCEB7mA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Roadjull","@Roadjull","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgwhVptVIBGl2BARkul4AaABAg","-""I have no idea who my competitors are...""

-""You're very credible!""","187","4 replies"
"https://yt3.ggpht.com/ytc/AIdro_kI0ozsap1cllv_nOftAqt1L53vYmCNJ15-YYKNMw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@moogleking","@moogleking","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugzl7v3gHzBDHOXcg5t4AaABAg","Sarah davies went straight to the point at the beginning with that remark","142","3 replies"
"https://yt3.ggpht.com/Im-sQaV_YRLy-Fl8_zNFvNWr4mzAOebrS0LzLPIyyHSQhTxBb213rhOpaz4IKrqhQv-B06ij=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@shsh-he5qg","@shsh-he5qg","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugzl1A52gC9TppKRi8l4AaABAg","Tej :Who can you compare yourself to who exited for that sort of money ? 
Errrmmm errmmmm I don’t remember !
Peter : your very very credible and smart","168","10 replies"
"","https://www.youtube.com/@macioluko9484","@macioluko9484","2 years ago (edited)","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxP2RSp5DGRhFMvNHF4AaABAg&pp=0gcJCSIANpG00pGi","The issue with all these personalized foods is that they rely on a subscription model that is despised by most customers. Also when a hear a bunch of serial entrepreneurs in one business my bs meter starts going…","150","4 replies"
"","https://www.youtube.com/@76-UVB","@76-UVB","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyUfR9LLr0VSrL2VgN4AaABAg","Bit of a chancer that guy, the six figure salary he gave up was probably £1000.10","293","23 replies"
"","https://www.youtube.com/@CampfireKareokes","@CampfireKareokes","11 months ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugzwm9tC9B7yH7CIiQN4AaABAg","See his neck turn blotched red at  when he gets corrected","16","1 reply"
"","https://www.youtube.com/@randomchannel5686","@randomchannel5686","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugw_1ZK60y3JQdkDwbh4AaABAg","90% of the time I agree with Peter but in this case I’d like to know what crack he was smoking that day","18",""
"","https://www.youtube.com/@SmurfyJCK","@SmurfyJCK","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxD_4SCCDqQ8Pyy4CJ4AaABAg","A smart guy for sure, but for Peter to say he was ""very very sharp"" after being tripped up and caught out a few times was.... interesting.","94","5 replies"
"","https://www.youtube.com/@SP-ie1vx","@SP-ie1vx","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyexUHlGUAkl6jSdo54AaABAg","I don’t know why, but he looks like he’s in disguise.","41","3 replies"
"","https://www.youtube.com/@edwoodsnowden","@edwoodsnowden","2 years ago (edited)","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyeTdFbQAtWt7GZmzB4AaABAg","Wow if Tej wasnt there the other Dragons would have had the wool pulled well and truly over their eyes!","34",""
"","https://www.youtube.com/@AllieOopsTK","@AllieOopsTK","1 year ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxXKpkiT8HOFpk6XRV4AaABAg&pp=0gcJCSIANpG00pGi","I wonder if they ever test these products before the Dragons ingest them.","10",""
"","https://www.youtube.com/@discovery-dx3ry","@discovery-dx3ry","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgzW0Y0eCAbyE5EKF1N4AaABAg","Never seen Peter invest in a dodgy thing before. Tej clearly said it doesn't work and similar businesses have lost money before.","12",""
"","https://www.youtube.com/@peterreber7671","@peterreber7671","4 months ago (edited)","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugy02n8bDktBawJRu0B4AaABAg","That is just total BS. Genetically personalized milk shake. Good grief.","7",""
"","https://www.youtube.com/@RogernzTWA","@RogernzTWA","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugw5wxiSiAAN2dX48MZ4AaABAg&pp=0gcJCSIANpG00pGi","The fact hes taking somones dna is a bit . . Scary . . . .","32","1 reply"
"","https://www.youtube.com/@trunderwood","@trunderwood","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyqJLw-sLzmIuK_MCh4AaABAg","Peter's comments make him sound like someone who has no experience in investing at all. Co-Founder with previous exit buys himself a house? That's a perfectly reasonable thing - no individual could bankroll this themselves. Founders loosing motivation after dilution? My brother, this is why we have preferential shares. 

There's all kinds of red flags here - the founder does not look like he believes in what he's saying and for some reason his co-founders passed on the opportunity to be associated with this on TV.","37",""
"","https://www.youtube.com/@linaofdragonstone","@linaofdragonstone","1 year ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgwxSZhbV2ocEzQMNRp4AaABAg","Giving your DNA to some guy with a fantasy  story about some bad tasting ""superfood"" is not very smart at all.","10",""
