"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_lUg3HV4ouplOw94tlrm0v8Zoyof20_CPyuLx09pSxHJQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@_scions","@_scions","5 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgyAhH8XGHIoGLrD58d4AaABAg","Hilary looks like every Disney villain ever.","1.3K","38 replies"
"https://yt3.ggpht.com/1l5nA4G6gzPyuwgDtCXQ69QjV6Z3t61lsAGml6MGIBnQr5jbg_Ll7Rk2GrjR_jqYpgewPHZnWaA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@SinkyYT","@SinkyYT","6 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgzFMdn0bWYUrgvo36t4AaABAg","This video was irritating to watch. Too much jumping back and forth between the same couple of business owners. Just show us the fiery moments of each ones pitch one at a time rather than jumping back and forth between them and having us confused who the dragons are arguing with until we see their reaction.","704","11 replies"
"https://yt3.ggpht.com/ytc/AIdro_lg052-paJ42vzxdU4fdoMbA96Q5ooZigcE5bWO5Ow=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Tom-hn1gk","@Tom-hn1gk","4 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=Ugz6r1cVLOXAbznqwXl4AaABAg","I actually really liked Hilary.","147","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_mEjuBo3LtZPKat1XG09CpBs5Q3_2Eg1dlIIqpHgBo=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@carpii","@carpii","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=Ugwe1qpaICGZwIeiNgR4AaABAg","Hilary: Would you like to play a game?","477","13 replies"
"https://yt3.ggpht.com/ytc/AIdro_my1eDjnITUKdCUx9UpbqsJt72c6dlZZoBsUE8ZY1xn3g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@BreakTheIce222","@BreakTheIce222","4 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgyKcJBIkEVXAg95vNd4AaABAg","Hilary is actually really smart so she gets annoyed when people don't realize basic stuff","45",""
"","https://www.youtube.com/@jamiec4478","@jamiec4478","5 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwjpDixn9TN_15b85x4AaABAg","There should be a dragons series of just Hilary and Duncan. The feedback could be comedy gold","165","1 reply"
"","https://www.youtube.com/@magictricks9876","@magictricks9876","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgzsAJi1kJjMmOu5OL14AaABAg","I'm here to pitch for my wig and shoulder pad business. Hilary would you be interested?","958","16 replies"
"","https://www.youtube.com/@gina1emo","@gina1emo","5 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgxFAQ318FlH1T7nkmh4AaABAg&pp=0gcJCSIANpG00pGi","“Sorry okay pls carry on”....carries on talkin over Debrah","155","1 reply"
"","https://www.youtube.com/@dazem8","@dazem8","4 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwhFamrVwSYzvR-Mq94AaABAg","lots of rude comments about Hilary. she came back from a stroke, she had to learn how to do basic functions all over again. I find her incredibly brave and inspiring. I know it's customary to joke on here but yall really disrespectful. leave that woman alone.","104","5 replies"
"","https://www.youtube.com/@Gulfraz.","@Gulfraz.","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=Ugx9r3XxUp2gbuNf_Qt4AaABAg","I'd be more worried if Madame Shoulders said "" I'm in""..","385","6 replies"
"","https://www.youtube.com/@lunes-1","@lunes-1","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwhMAL0HWsAVsQjhbV4AaABAg","This Dragons eat fresh entrepreneurs for Breakfast","276","1 reply"
