"style-scope src","style-scope","yt-simple-endpoint href","Account name","yt-simple-endpoint href 3","yt-core-attributed-string","style-scope 3"
"https://yt3.ggpht.com/SnqR9Yj3cmuEWqaeFnhG9kCdg_uh8kknel6-5gqy3a36ncsLUAQW4b_IoLvqtw-ehNRvNpDYkQ=s88-c-k-c0x00ffffff-no-rj","Pinned by @DragonsDenGlobal","https://www.youtube.com/@DragonsDenGlobal","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwjeHq0l2zAPWAEJ4Z4AaABAg","We're NOW on Facebook! Support us by liking and following the Dragons' Den Global page and check out our videos:","64"
"https://yt3.ggpht.com/84wZCUaJyQrSdiRT3iWd_vULNv_iSB5wnMJ04zYyeyYlTbP8dtCvvd87ZiHXf-iv8lVErVc0dBg=s88-c-k-c0x00ffffff-no-rj","@joemcc01","https://www.youtube.com/@joemcc01","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwLzq-_sxoC8ZVCiKN4AaABAg","Anyone else save these videos for when they’re eating food","2.6K"
"https://yt3.ggpht.com/ytc/AIdro_l1dseZ_zcF3IVX8W02PeFYbag9M68V0AYwwuGEcLM=s88-c-k-c0x00ffffff-no-rj","@intravena","https://www.youtube.com/@intravena","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugwk0k386YfwTsIXYOl4AaABAg","I've played enough Grand Theft Auto to know that following the compass is a terrible way to navigate a city.","557"
"https://yt3.ggpht.com/ytc/AIdro_nuhxpdiQM4eHNGkzlx62zNBr_S7Lwrc5omM3Gk948=s88-c-k-c0x00ffffff-no-rj","@roblancs","https://www.youtube.com/@roblancs","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugyi1ilkQQzA_agOapF4AaABAg","I doubt there's any ink in Jenny's pen","1.1K"
"https://yt3.ggpht.com/cgMaPZ6Tzd6p3EwaF_GTSQ09umTwJer92ad0Mi8MNTcLdiZCXuvBX42isWw9M8EpxRGQOJB_=s88-c-k-c0x00ffffff-no-rj","@BoySpook","https://www.youtube.com/@BoySpook","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugy9JmIFzW-mlJLtSjh4AaABAg","Whenever Deborah doesn't invest she always gives solid advice anyway... Nice lady","1.9K"
"https://yt3.ggpht.com/ytc/AIdro_l1OyFKNdFiG79YmnKeyBNmdZe7ivid6qoh-xLxFsY=s88-c-k-c0x00ffffff-no-rj","@ldfnnltsmith4349","https://www.youtube.com/@ldfnnltsmith4349","2 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugy_02mRot_qKNKT7fV4AaABAg","They should combine this with a portable flow signal to let people know when they are going the wrong way down a 1 way street","35"
"","@jinglebeast3069","https://www.youtube.com/@jinglebeast3069","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxifI23ocr2Px6RdeN4AaABAg","A £10 Chinese smart watch will easily attach to your handle bars and be synchronised with google maps which would be far cheaper and far more informative","810"
"https://yt3.ggpht.com/ytc/AIdro_kYblFRezEFvD2kAh6KEUvF5Rmcr9gi9An89s35qWg=s88-c-k-c0x00ffffff-no-rj","@biteme9371","https://www.youtube.com/@biteme9371","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxHr1B0UiQ5480E7bN4AaABAg","Most impressive thing about this is that they raised £60k from friends and family. I'm lucky if my nana gives me a fiver for Christmas.","110"
"https://yt3.ggpht.com/ytc/AIdro_l27Bd9TRPm50pGd4o5oos3XOmheAt2kX0gqip4lNgsyZU=s88-c-k-c0x00ffffff-no-rj","@evertonc1448","https://www.youtube.com/@evertonc1448","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxZHb_2JCV80YRUfEh4AaABAg","It's always the Kickstarter people that are more delusional.","340"
"https://yt3.ggpht.com/ytc/AIdro_nmsVv9-wfHXZookpBjom4nz5BrHNJJpcWbXND_jWo=s88-c-k-c0x00ffffff-no-rj","@24magiccarrot","https://www.youtube.com/@24magiccarrot","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwvGunytfTCshNOX3B4AaABAg&pp=0gcJCSIANpG00pGi","I'm surprised Jenny doesn't cycle, I heard she likes to get out.","635"
"https://yt3.ggpht.com/ytc/AIdro_lHxsQrExQB5HAjId9aonMCRY5bHNptwk3BmnG2H68=s88-c-k-c0x00ffffff-no-rj","@treeliniusmaximus8412","https://www.youtube.com/@treeliniusmaximus8412","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugwnk2exAF34jfH903t4AaABAg","Jenny: I'm lost on a country lane and cant open this bloody farmers gate, and for that reason, I'm out.","474"
"https://yt3.ggpht.com/h1E_KVTw_U8zzIXR1fZih2kPdwYurq58btuJ0NiaPQAl5DWS2fztofUEwTRuQ59wG57Mn55vrA=s88-c-k-c0x00ffffff-no-rj","@BlindDweller","https://www.youtube.com/@BlindDweller","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwKl-N3b1ziVDmaMM54AaABAg","“I’m not a cyclist so I’m out”

Gotta hand it to Jenny for memeing herself before YouTube did.","376"
"https://yt3.ggpht.com/ytc/AIdro_k3om5u4Cbh9q4vF788vGdDcq4TzZGtiwoJ8oqtiWX5tHA=s88-c-k-c0x00ffffff-no-rj","@MB-ey6vv","https://www.youtube.com/@MB-ey6vv","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyuIVhdz6x2hPcnrBZ4AaABAg","Blokes: we've raised 500k
Dragons: on what did you spend that??!
Blokes: well, we paid ourselves salary.

Sneaky blokes.","256"
"https://yt3.ggpht.com/ytc/AIdro_kWi8NevbXoo6u6epOxIxui_8MYRIgvU8P2_0kKY9QeWxc=s88-c-k-c0x00ffffff-no-rj","@sadikmeah4057","https://www.youtube.com/@sadikmeah4057","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzoaZL28ddJpEn9xhp4AaABAg","Let me guess, they both bought a lamborghini each as company vehicles","355"
"https://yt3.ggpht.com/ytc/AIdro_nbyWU5_kGoBj-4TduACSTtw5GiMeAM_yK2vIttPhg17e4=s88-c-k-c0x00ffffff-no-rj","@rasilaherman4769","https://www.youtube.com/@rasilaherman4769","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxbSJNIRS3gcpBQ6bx4AaABAg","It’s so much funnier when you realize they had no reason to be on a tandem bike at the start..","104"
"https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s88-c-k-c0x00ffffff-no-rj","@Jordothecat98","https://www.youtube.com/@Jordothecat98","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyEHFrG9dALKBPTIdh4AaABAg","wow that was the most blunt i've seen tej. ""a glorified compass"" lol","105"
"https://yt3.ggpht.com/eMy4YxVOkra5iVTumZl4hb9Hu8BjuVhKhvjRKDtD3-rXKn4kEN-xBDy6hP6wDg6EW6LBLnAerQ=s88-c-k-c0x00ffffff-no-rj","@hgblobb","https://www.youtube.com/@hgblobb","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugzvn3qFDFQEf7WpxiB4AaABAg","I doubt Jenny needs a compass to find her way out.","64"
"https://yt3.ggpht.com/ytc/AIdro_kbJfsp7jBbkTZHjViX8Ika5eyfrkZ5MPfJ85xnqKnyjFA=s88-c-k-c0x00ffffff-no-rj","@omaraamir2575","https://www.youtube.com/@omaraamir2575","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgzRwiz_vovUhY1sVpJ4AaABAg","Just in time for lunch, dragons den you beauties.","544"
"https://yt3.ggpht.com/ytc/AIdro_n4TOe5j-tDhvGctWeB0ZBLK55FkCSmqpYfdcLlOzpbwg=s88-c-k-c0x00ffffff-no-rj","@Dogeggz","https://www.youtube.com/@Dogeggz","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyRqS5WePHzykgOv6x4AaABAg&pp=0gcJCSIANpG00pGi","One of those guys looked like he'd been shoving those investments up his nose.","185"
"https://yt3.ggpht.com/ytc/AIdro_ldSPhQx8TBDhjkNCWXzLJgn6FPKmyaHkbIk3ARzHP1Fw=s88-c-k-c0x00ffffff-no-rj","@jn6711","https://www.youtube.com/@jn6711","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugxr2oUZzBufGyLV3a14AaABAg","Lol these two love wasting other people's money","498"
"https://yt3.ggpht.com/ytc/AIdro_m2sSF9pWlAlUF9g3Z_abbI4CRm2zfDg7qoEvK0taE=s88-c-k-c0x00ffffff-no-rj","@aimclarke9996","https://www.youtube.com/@aimclarke9996","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxIuwPKEcZ3I87fvVp4AaABAg","For £20 it wouldn’t be as bad but £100 is ridiculous","314"
"https://yt3.ggpht.com/ytc/AIdro_nfy4zUyagQkbQC3a1fhtpPOgNssgVogklq6AKxTKs=s88-c-k-c0x00ffffff-no-rj","@ryanking5061","https://www.youtube.com/@ryanking5061","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxPBYqepTzg-1VeXMd4AaABAg","Touker ""What does OPM mean to you?"" Me ""Heaven is a halfpipe"".","57"
