"yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","style-scope src"
"https://www.youtube.com/@MetalFan10101","@MetalFan10101","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugz5naQRbTMNHKAUaQ54AaABAg","Taj always looks like he has been awake for 2 weeks.","705",""
"https://www.youtube.com/@fyoutube9410","@fyoutube9410","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgySMuW8WhGV3FV87114AaABAg","""his hopes for investment lie with Jenny Campbell"" lol, so no hope then?","381",""
"https://www.youtube.com/@LeedsAway","@LeedsAway","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyIMYAsrZdzXoPoB8h4AaABAg&pp=0gcJCSIANpG00pGi","He has a pie shop in my town. Seems to be doing quite well too.","585",""
"https://www.youtube.com/@Goku9000","@Goku9000","4 years ago (edited)","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugzhbyw2XFnS1tzyqXp4AaABAg","If only he showed his numbers with a... PIE CHART","357",""
"https://www.youtube.com/@Dreamlink91","@Dreamlink91","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzuGSekFRjeBl0Utcx4AaABAg","I feel like Jenny is faking beeing rich and sits there for dem memes","213",""
"https://www.youtube.com/@crystalion3378","@crystalion3378","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwYzaYyUORZflTFS3R4AaABAg","I love how even though Deborah and Peter won't invest they take the time to give really good advice. Which in itself is hugely valuable.","104",""
"https://www.youtube.com/@lauriesicardaskey","@lauriesicardaskey","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyXUs_EECitbxK4yNt4AaABAg&pp=0gcJCSIANpG00pGi","Jenny: 'I love pies so I'm out.'","74",""
"https://www.youtube.com/@Songbirdofourgeneration","@Songbirdofourgeneration","4 years ago (edited)","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugw5l75ymf--R97-Dpd4AaABAg","I’m glad he didn’t get an investor. It would have taken the heart from his work. He needs to get his online presence up and send out pies","166",""
"https://www.youtube.com/@Buz-Lunch-Punx","@Buz-Lunch-Punx","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy2mpKoZj1nU_RVLzJ4AaABAg","""His hopes for investment lie with Jenny Campbell"" lol, well that's Rocky fucked then!","30",""
"https://www.youtube.com/@DeepakOjha","@DeepakOjha","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugwd-Mxrnfmbco2jr9R4AaABAg","""Beauty is in the pie of the beholder."" Oh god this narrator and his puns.","45",""
