"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-attributed-string 4","yt-core-attributed-string 5"
"https://yt3.ggpht.com/ytc/AIdro_n7oiER8X7SDQCwmntIQOrI4-xz8coEyDQ0UVo1SqMeAA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@montelvontaviouspore","@montelvontaviouspore","4 years ago (edited)","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgzJob7IZiWveylIThV4AaABAg","Duncan loves granola so for that reason he's oat!","1.2K","42 replies","42 replies","42 replies"
"https://yt3.ggpht.com/ytc/AIdro_nvnhRHnlgA_tEb2Q9OiWfIwv9xg033dS9l_aKfEzk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@chetus91","@chetus91","3 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgyhomRZWx9WkQfAuy94AaABAg","“Johnnie and Annie have done it”

No doubt, no doubt.","160","4 replies","4 replies","4 replies"
"https://yt3.ggpht.com/ytc/AIdro_kr77FzsFV6XMrWN2yAXt-3ydz93KSs54twpQXd2Zfl8BU=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@knightterror2826","@knightterror2826","3 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugw2F1iYZBnv7TuZSnV4AaABAg","I so badly want Duncan to just follow me everywhere I go and speak out loud all the sarcastic stuff I have to keep inside my head.","88","1 reply","1 reply","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_muyKwcbksJThOR87SNtXYSxsmq-LDyQM0LOuE0sVg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@J1mston","@J1mston","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgzZry4jSRWPkNCjEwJ4AaABAg","I know people like to know how the company's doing now so I went and had a look. They're still going, sell through their own site, Amazon, Ocado, Sainsburys and Waitrose to name a few. The deal seems to have gone through and Deborah has them listed on her site. The company had a reported value of £2.15 million in 2018 when they sought more investment.","563","18 replies","18 replies","18 replies"
"","https://www.youtube.com/@pippipster6767","@pippipster6767","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgwUOhK0JJOYZTGpLrZ4AaABAg","‘It’s about £1.9 billion’ ... Peter Jones wakes up from his lizard slumber opening one eye","255","","",""
"","https://www.youtube.com/@yankeekev6733","@yankeekev6733","2 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgxOZaqKVN18XusJlQ94AaABAg","The way she's say my sis boyfriend ye a bit sus","10","","",""
"","https://www.youtube.com/@deandrewalker6978","@deandrewalker6978","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugza3rM0C5pWjuER5GF4AaABAg&pp=0gcJCSIANpG00pGi","This episode was shot in 2014. As of 2019, it is in 250 supermarkets, made profit, and raised about a quarter million dollars to make a big expansion. It has won awards and is a popular brand. They were able to buy out the Dragon's shares of the business to move the business in the direction they wanted to, but are still on good terms with both. It may not be the biggest company, but it is going strong, especially considering how saturated the cereal market is.","265","6 replies","6 replies","6 replies"
"","https://www.youtube.com/@commanderkeen3787","@commanderkeen3787","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugx07aXFMu0rvlQRduJ4AaABAg","Duncan: ""I get my breakfast delivered in the mail. I especially enjoy the taste of junk mail""","228","3 replies","3 replies","3 replies"
"","https://www.youtube.com/@BDogs10","@BDogs10","2 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgwR8QvWohkz5GPBU_54AaABAg","Sister’s boyfriend.. Umh .. ok","6","","",""
"","https://www.youtube.com/@gthedragon17","@gthedragon17","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgzMObgGtGiL2DVQlGp4AaABAg&pp=0gcJCSIANpG00pGi","Piers: So what's the story between you two?
Them on their mind: there's a reason our brand name is spoon","273","4 replies","4 replies","4 replies"
