"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_nDYjsTcKMVgEFGi2mmiqaJqjPWG-HOk8Ww-MQlcUQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Voicist","@Voicist","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgzLKNgknHgahow_Uvh4AaABAg","Deb: I sent scores of emails, personally phoned you several times, had a company ready to mail 1.5 million customers for you...
Them: Yeah, wi shoulda sed sammink","810"
"https://yt3.ggpht.com/ytc/AIdro_n47f95wFPBqZup5VyMV64RhzZyyRqs0SNxtFYUd6k=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@foureyes1700","@foureyes1700","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgzvuowPD_r3RJLOB0Z4AaABAg","Okay, we can accept that they decided to go with another investor, but to not communicate those decisions is rude,  ungrateful, unprofessional and childish.","1K"
"https://yt3.ggpht.com/09-UzrQYQt9lzuCg7GkwjnWVaS1OebbZFPCIa2QeB0bgStwXiMduFPMRyjM3Rhrfri7uXonemA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@AdamFrancisco","@AdamFrancisco","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyKVFNgPaMG8phGcqt4AaABAg","Deborah earned a lot of points in my eyes with the after show.","566"
"https://yt3.ggpht.com/ytc/AIdro_lkCyEkvhrnUHpj79ya5NbvuFDGdJ6DFZ2ZSXQ9qj2u-w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@michellestella7477","@michellestella7477","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=Ugylcs0DK8W1YVDfEFJ4AaABAg","These 2 are really unprofessional","415"
"https://yt3.ggpht.com/VZJ__TSib3Zvr865HUfOd_-3UsYV4S3h7NaMTepZZ6AclRcHx_90QrZUWj-PicECsPDLnGlwFMQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Jimverse_","@Jimverse_","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgxcvgvPZ1ZZV8f8uvt4AaABAg","Loving this 'after the deal' bit, very cool","976"
"https://yt3.ggpht.com/ytc/AIdro_naoaGfDpNRzTPucKjWXP7nSLgEN_lg421s5wxbtr1g-Ek=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@retrovideos1445","@retrovideos1445","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyARpLGI97RgJbcngN4AaABAg","reckon they made this to inform the public she isn’t involved with that company","356"
"","https://www.youtube.com/@kcc-karenschroniccorner9432","@kcc-karenschroniccorner9432","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyA9tPSRXgJeffGval4AaABAg","Deborah is pure class.","402"
"","https://www.youtube.com/@cun7us","@cun7us","4 years ago (edited)","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgwrZIeMlJMtFMNtCGF4AaABAg","Definitely one of the more interesting videos. You always see the pitch and negotiation but rarely the aftermath, which is often the most interesting part. They should do more like these.","610"
"","https://www.youtube.com/@markcyphus3292","@markcyphus3292","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgwgyJfzoPy_46zGE754AaABAg","These guys are devious, deceptive and dishonourable. They had a good offer from Deborah, and the least they could have done would have been to communicate. They deserve what may be coming to them. What goes around comes around","443"
"","https://www.youtube.com/@mr.nobody7785","@mr.nobody7785","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=Ugz3KvKOlfPH-G4JtAN4AaABAg","based on online reviews, seems Deb got the full customer experience of being ignored and left hanging.","105"
