Season,Commentor,Time posted,yt-simple-endpoint href 2,Comment,style-scope 2
1,@therandomguy1254,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugx9evUJWAzRHOFEju54AaABAg,I am now addicted to these videos for some reason,5.9K
1,@siegfriedschmitz5260,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzCMQLdkJQSnEUAGBJ4AaABAg,"""our family's comes first"". SHOCKED investors",1.9K
1,@shrillz,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy_FQXQ3nSWcM7vCLp4AaABAg,The guy says he wants to keep his current job secure to make sure his family is taken care of. The Shark:,1.6K
1,@reddragon6317,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugyomem20xncqjRM04x4AaABAg,There is nothing wrong in having a secure job while growing an unpredictable buisness,4.6K
1,@SkritchB,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyA9RDRTf8OJlhP9Td4AaABAg,"""you guys did not take a big risk to potentially become homeless unless your product succeeded and for that reason im out""",2K
1,@theoavg,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxKwqM2PJcYC7V2G2h4AaABAg,“I sold my house and lived with my children at the office”. It seems like being irresponsible with your family’s wellbeing and gamble their future is what makes you a good entrepreneur.,942
1,@IsomerMashups,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyK78_ITL7rydjvwHR4AaABAg,"Their attitudes are excellent. Came in expecting to hate them, but came out thinking they're brighter and more conscientious than most of the people on this show, including the sharks.",778
1,@isabelle3930,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugw0IYS6jnT6NU4Tfa94AaABAg,"""You did not sacrifice your entire livelihood and the livelihoods of your families for this unpredictable business, and therefore, I am out.""",873
1,@WobblesandBean,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzlPdE-69eHI9LeLdV4AaABAg,"I find it a bit insulting that they all think it's unacceptable for these men to try and give their families a decent life while trying to start their business. ""How dare you not risk your marriage, your family, your credit, and your whole life to put every penny back into your fledgling business!""",1.9K
1,@ChintanCG,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgywrWkNdqJ_uOZEvHt4AaABAg&pp=0gcJCSIANpG00pGi,No one's gonna spend $100 in India for this,1.6K
1,@karansarin1986,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyQ7KaEZ3eFJdhppqB4AaABAg,"In India, for $100, you can get...
real wickets.... 
a bat.... 
a ball.... 
chilled beer for the team... 
and a person to run and get those beers from a nearby store",1.7K
1,@usgalsen,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgynZyvvMCbhN7ZIh9t4AaABAg,These 2 did everything right. Those sharks are just intentionally mean for television.,341
1,@ninjakid0073,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwcltsfhAvKyzBnULF4AaABAg,I legit just watched a pitch where they were shocked to find out that the entrepreneur didn’t have a day job.,219
1,@a_literal_brick,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwDWGzrEMdCP80776t4AaABAg,This is the most Australian thing I've ever seen,591
1,@CharlesCorbett,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzU-0gCzhAH8c8JI2h4AaABAg,"Shark: ""I shared a bedroom with my kids to get my business going""

Sorry you had to stoop to the levels of the average lower middle class person lol",650
1,@pauljones4763,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyXsderrM5CzBj3jWR4AaABAg,Aftermath: these entrepreneurs are still in business. So they succeeded,499
1,@Lommy9999,4 years ago (edited),https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyxWpkDlWm_CecxD2p4AaABAg,And how did Janin manage to eat without a salary for 3 years? She had money coming from elsewhere. Probably the husband. Is she trying to impress us by saying she took no salary when most people need a salary to live?,129
1,@flazederg6800,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugz9pI0P2-_ceWje_cV4AaABAg,Imagine being proud of the fact that you made your kids live in an office for 3 years.,107
1,@AlanTuringWannabe,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzT8Nmuf3WmNyUqntB4AaABAg,Jenny popped in just to say she was out and grab a free glass of water.,180
1,@GrubbyPigeon,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgycFYW9gtc7-_QUnZR4AaABAg,This is insane. They probably have children and wives. They didn’t go for it just because they have side jobs!? What knobs,396
1,@whanethewhip,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugxttas07AycQyj8Ay54AaABAg,"Sharks: ""We think you have to devote all of your time to this business alone""
Also Sharks: ""We invest time and money into 100's of businesses.""
-_-",134
1,@user-xk9xm1iy8k,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy1o3bDO7AOuweLBIl4AaABAg,I cannot be the only one who watches shark tank daily,307
