"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_nCe5q0Cz-3dkTG5Qk3MPLUsZWC002eGhX1M8ii92CFZg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@yay12310","@yay12310","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgxrLvrFZAlBEG3lnkB4AaABAg","For anyone wondering, these guys made over $400,000 in revenue last year","5.2K"
"https://yt3.ggpht.com/ytc/AIdro_kPX53012qQdBPWYUINU2QnlFaikK_Sqf6zXbqqgTU=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@chuckmanson6092","@chuckmanson6092","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgxZupbknq2hQx9QVIx4AaABAg","Am I crazy or does that guy have a really long neck? I'm tripping out here.","4.2K"
"https://yt3.ggpht.com/ytc/AIdro_muZpGvlwQw9JMnbseSP4x5ftAADbE8hKVmyrkzoba-1Gs=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jeremycastro8223","@jeremycastro8223","5 years ago (edited)","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=Ugym5oEhCZzgzKXfzfF4AaABAg","Saying that you can't own a gym and sell supplements at the same time is like saying you can own a. Dermatology clinic and sell Moisturizer. That is literally one of the dumbest things I've seen on this show.","3.2K"
"https://yt3.ggpht.com/57tgOt2iskp95gR8T1t7BW76XhI6f6SfmqlJ_RLOH1CgkcE9ixYQ7vDBNUWcFChg9VpTnP7Hjw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@MrRoyadin","@MrRoyadin","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgwiJNRJRRjQLzt6YAB4AaABAg","All of their arguments were really weak. ""What are you going to do when a manager quits?"" Oh I don't know, hire another one? Isn't that usually how employees work?","1.2K"
"https://yt3.ggpht.com/N0wvbhYftsFXmLmu2tS2ZIoaqfgJpcfsbM86OYwYqXfETS3gLMMlD5YD3nXdRVDXwXjUlrgyUA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@MakoKong","@MakoKong","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=Ugx3HttdSE-eEkKlUCd4AaABAg","Steve embarrassing himself again by talking about ""chemicals"". They're amino acids. ""facepalm""       and everything is a chemical","1.5K"
"","https://www.youtube.com/@someoneyouknow525","@someoneyouknow525","5 years ago (edited)","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzqVusXDZcSF_EnC_d4AaABAg","I love how all the sharks/dragons on these shows act like it's the end of the world if the person has another job/responsibility/part time commitment, when they themselves have like 50 business yet somehow manage lol","2.6K"
"","https://www.youtube.com/@Antipasta17","@Antipasta17","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzkRz-DWZQwU_aeJCp4AaABAg","Why she going after them for having a chocolate business and a gym business when the sharks have their hands in like 50 different businesses","868"
"","https://www.youtube.com/@mwann85","@mwann85","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzqMjpoygLpFb2kICZ4AaABAg&pp=0gcJCSIANpG00pGi","This guy looks like a buffed Linus Tech Tips","1.9K"
"","https://www.youtube.com/@voidfellinthevoid","@voidfellinthevoid","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzFNycPgDiZECuEVmB4AaABAg","When the sharks were asking for proof, however they didn’t even let them finish their statement before criticizing them. It seems unfair.","1.2K"
"","https://www.youtube.com/@ThanosTheManos","@ThanosTheManos","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgxuAQDr-mNrL_zSY_14AaABAg","Instead of yelling at them for making a mistake for the packaging, why don’t you just suggest that they take that part of the packaging away...","1.1K"
"","https://www.youtube.com/@Sports-Jorge","@Sports-Jorge","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=Ugxq9acKWOzm6mBWGs14AaABAg","Lady- “I own multiple businesses, am on a tv show and sometime help grow completely new businesses..... but you 2 def can’t split your focus” ️","1.3K"
"","https://www.youtube.com/@TyKizer","@TyKizer","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgyFeWwVMVLAHiIHeVR4AaABAg","I don't see a problem with it.  Chocolate, caffeine and amino acids in a bar is not a bad idea.  I hope it does well.","2.5K"
"","https://www.youtube.com/@kinayt2950","@kinayt2950","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgypwLT72lgEDmFs1il4AaABAg","The lady in red be like : Sorry guys but I’m wearing red so that means ... I’m out","587"
"","https://www.youtube.com/@PayMe2Play","@PayMe2Play","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgwyIdlWBTvLBvkOhgd4AaABAg","Does the guy saying there is chemicals in the chocolate not realize water is a chemical?","489"
"","https://www.youtube.com/@d4nt3_023","@d4nt3_023","5 years ago (edited)","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzumJ7nIqKylpupDfN4AaABAg","The supplements he listed do build muscle. Idk why Janine is having a fit","426"
"","https://www.youtube.com/@SachaKDrums","@SachaKDrums","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgxEEIeaQMztFwS6jPB4AaABAg","“Certainly the French live a lot longer because of their dark chocolate.”
2 seconds later:
“You cannot make health claims. Full stop. Like...STOP IT”","821"
"","https://www.youtube.com/@aitechieee","@aitechieee","5 years ago (edited)","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=Ugw3ISKhzrrpK8r-hh54AaABAg","""I'm a dark chocolate eater. I'd really like to make a Deal.""
""Do you want one more piece of chocolate to make your decision?""
""I'm out.""","214"
